
===== doforpjh.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 22050 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 3.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7213508 real : 301.589142 / imag : -3062.320627 
0xf7213518 real : 0.000000 / imag : 0.000000 
0xf7213528 real : 507.600332 / imag : -268.906929 
0xf7213538 real : 0.000000 / imag : 0.000000 
0xf7213548 real : 403.677425 / imag : -699.156386 
0xf7213558 real : 0.000000 / imag : 0.000000 
0xf7213568 real : 390.356373 / imag : -15.341086 
0xf7213578 real : 0.000000 / imag : 0.000000 
0xf7213588 real : 358.993867 / imag : -1113.322848 
0xf7213598 real : 0.000000 / imag : 0.000000 
0xf72135a8 real : 214.813827 / imag : -23.200237 
0xf72135b8 real : 0.000000 / imag : 0.000000 
0xf72135c8 real : 367.231738 / imag : -441.846157 
0xf72135d8 real : 0.000000 / imag : 0.000000 
0xf72135e8 real : 337.539275 / imag : -45.904646 
0xf72135f8 real : 0.000000 / imag : 0.000000 
0xf7213608 real : -13.570749 / imag : -5873.312952 
0xf7213618 real : 0.000000 / imag : 0.000000 
0xf7213628 real : 388.129853 / imag : -313.974497 
0xf7213638 real : 0.000000 / imag : 0.000000 
0xf7213648 real : 448.753352 / imag : -804.894289 
0xf7213658 real : 0.000000 / imag : 0.000000 
0xf7213668 real : 369.839695 / imag : -197.119377 
0xf7213678 real : 0.000000 / imag : 0.000000 
0xf7213688 real : 342.461328 / imag : -1335.600175 
0xf7213698 real : 0.000000 / imag : 0.000000 
0xf72136a8 real : 427.876262 / imag : -250.234984 
0xf72136b8 real : 0.000000 / imag : 0.000000 
0xf72136c8 real : 375.812344 / imag : -460.192976 
0xf72136d8 real : 0.000000 / imag : 0.000000 
0xf72136e8 real : 427.351022 / imag : -11.299781 
0xf72136f8 real : 0.000000 / imag : 0.000000 
0xf7213708 real : 331.007305 / imag : -2149.807456 
0xf7213718 real : 0.000000 / imag : 0.000000 
0xf7213728 real : 361.842327 / imag : -262.376609 
0xf7213738 real : 0.000000 / imag : 0.000000 
0xf7213748 real : 336.720247 / imag : -466.345997 
0xf7213758 real : 0.000000 / imag : 0.000000 
0xf7213768 real : 414.139143 / imag : 0.021516 
0xf7213778 real : 0.000000 / imag : 0.000000 
0xf7213788 real : 304.137674 / imag : -934.171172 
0xf7213798 real : 0.000000 / imag : 0.000000 
0xf72137a8 real : 370.863719 / imag : -170.264807 
0xf72137b8 real : 0.000000 / imag : 0.000000 
0xf72137c8 real : 273.864984 / imag : -513.163906 
0xf72137d8 real : 0.000000 / imag : 0.000000 
0xf72137e8 real : 340.753056 / imag : -20.505711 
0xf72137f8 real : 0.000000 / imag : 0.000000 
0xf7213808 real : 2683.131975 / imag : 7107.408681 
0xf7213818 real : 0.000000 / imag : 0.000000 
0xf7213828 real : 396.219385 / imag : -287.062120 
0xf7213838 real : 0.000000 / imag : 0.000000 
0xf7213848 real : 410.617764 / imag : -858.257951 
0xf7213858 real : 0.000000 / imag : 0.000000 
0xf7213868 real : 387.293544 / imag : -255.879457 
0xf7213878 real : 0.000000 / imag : 0.000000 
0xf7213888 real : 331.260009 / imag : -1686.337517 
0xf7213898 real : 0.000000 / imag : 0.000000 
0xf72138a8 real : 375.686763 / imag : -223.830053 
0xf72138b8 real : 0.000000 / imag : 0.000000 
0xf72138c8 real : 345.425159 / imag : -530.556346 
0xf72138d8 real : 0.000000 / imag : 0.000000 
0xf72138e8 real : 455.117950 / imag : 97.934692 
0xf72138f8 real : 0.000000 / imag : 0.000000 
0xf7213908 real : 194.293836 / imag : -3427.287434 
0xf7213918 real : 0.000000 / imag : 0.000000 
0xf7213928 real : 349.402240 / imag : -267.930130 
0xf7213938 real : 0.000000 / imag : 0.000000 
0xf7213948 real : 345.335601 / imag : -641.849622 
0xf7213958 real : 0.000000 / imag : 0.000000 
0xf7213968 real : 327.104181 / imag : -178.396370 
0xf7213978 real : 0.000000 / imag : 0.000000 
0xf7213988 real : 396.004288 / imag : -1118.753694 
0xf7213998 real : 0.000000 / imag : 0.000000 
0xf72139a8 real : 300.963335 / imag : -126.560230 
0xf72139b8 real : 0.000000 / imag : 0.000000 
0xf72139c8 real : 333.320888 / imag : -434.799374 
0xf72139d8 real : 0.000000 / imag : 0.000000 
